tweet_id,label,tweet_text
1360340000000000000 ,1,"4,000 a day dying from the so called Covid-19 Ì¬accine?@DailyBeast reports. #vaccine #PfizerVaccine #Moderna 

https://t.co/p1nQWWZpk4"
1382900000000000000 ,2,Pranam message for today manifested in Dhyan by @meenapranam #truth #love #karm #light #nature #consciousness #FridayThoughts #fridaymorning #CoronavirusIndia #COVID19India #?????_???????? #navratri #Thane #AmbedkarJayanti2021 #ModiJi #NarendraModi #SecondCOVIDWave #Covaxin https://t.co/bQNoMVowJg
1375670000000000000 ,2,"Hyderabad-based ?@BharatBiotech? has sought funds from the government to ramp up production of its indigenously developed Covid-19 vaccine, #Covaxin .
The company has written to the ??@DBTIndia? seeking Rs 100 crore to ramp up. https://t.co/wjWlVIGMC4"
1381310000000000000 ,1,"Confirmation that Chinese #vaccines ""don÷… have very high protection rates"", according to the director of the China Centers for Disease Control, Gao Fu.

#Sinovac effectiveness ""found to be as low as 50.4% by researchers in Brazil""; &lt;50% is 'not useful'.

https://t.co/S2OoHjd7Do"
1362170000000000000 ,3,"Lab studies suggest #Pfizer, #Moderna vaccines can protect against #coronavirusvariant
https://t.co/NPaFA68m57"
1351290000000000000 ,1,"Still want to take the #jab?
#PfizerBioNTech
#sideeffects 

13 Israelis suffer FACIAL PARALYSIS after taking Pfizer Covid jab, amid influx of reports detailing adverse effects
https://t.co/RYitPGzuaV"
1377330000000000000 ,2,"This time, AerolÖJeas flight AR1068 goes to Moscow to pick up the #SputnikV vaccines.

There were about 11 flights between Buenos Aires (Argentina) and Moscow (Russia). ??????

Follow flight #AR1068 at RadarBox:
https://t.co/jQD1ajKDfW

#AerolÖJeasArgentinas #Vaccines #RadarBox https://t.co/A0Evyzf57z https://t.co/YhRBawRXm6"
1363340000000000000 ,3,"#Covaxin effective against mutant virus strains: ICMR ??

Thanks to Dr. @Swamy39 jee &amp; Health Minister, Dr. Harsh Vardhan jee for promoting India's first indigenous Covid Vaccine from Bharat Biotech !! ???

https://t.co/6wSwiSaIZt https://t.co/SK7ECsgUOz"
1372580000000000000 ,3,Safe and effective. #OxfordAstraZeneca
1367510000000000000 ,2,The day after the #Moderna #COVID19Vaccine... My arm is a little sore and I am a little more fatigued than usual. My grandparents had no noticeable effects though.
1380840000000000000 ,3,@syd_m39 Not a girl but part of the #Moderna club ?
1384540000000000000 ,2,"When we can get #moderna and #pfitzer Vaccine in India?
@narendramodi 
@MoHFW_INDIA"
1381560000000000000 ,2,"Cameroon receives 200 000 doses of Sinopharm Covid-19 vaccine
https://t.co/pmc6VFJ91I

#Cameroon #Sinopharm #Vaccines #Covid19"
1382840000000000000 ,2,#India at 216850  new cases of #coronavirus with 1183 deaths in the last 24 hours. #COVID19 #COVID #COVIDisAirborne #Covaxin #COVID?19 #COVID #COVIDIOTS #COVID19India #CoronavirusIndia #CoronaCurfew #Corona #worldometer #covishield https://t.co/TnusX1UkHJ
1368870000000000000 ,3,"@RachelNotley @GovCanHealth @CPHO_Canada 

Congrats to the amazing scientists who created #coronavirus #vaccines to end the #pandemic.????? 

#science #scientists #Pfizer #Moderna #AstraZeneca #Janssen #cdnpoli https://t.co/ZiunBgnVcP"
